,PDB codes,kd difference
693,"1wwe , 3rn2",58.0
694,"1wwe , 4hid",685.0
695,"1wwe , 4hik",146.0
696,"1wwe , 4him",133.0
697,"1wwe , 4hio",149.0
698,"1wwe , 4hj5",107.0
699,"1wwe , 4hj7",164.0
700,"1wwe , 4hj8",148.0
701,"1wwe , 4pdb",60.0
702,"1wwe , 5wwe",364.79999999999995
703,"1wwe , 5wwg",49.80000000000001
704,"1wwe , 5wzg",138.0
705,"1wwe , 5wzj",157.0
706,"1wwe , 5wzk",10.0
707,"1wwe , 5z6z",124.75999999999999
708,"1wwe , 6eo6",169.0
709,"1wwe , 6eo7",169.61
710,"1wwe , 5ytx",1170.0
711,"1wwe , 5ytv",1090.0
712,"1wwe , 5ytt",3600.0
713,"1wwe , 5yts",2600.0
714,"1wwf , 1exd",86.9
715,"1wwf , 1il2",2906.0
716,"1wwf , 1jbr",906.0
717,"1wwf , 1je8",93.85
718,"1wwf , 1knz",15.0
719,"1wwf , 1omh",24.0
720,"1wwf , 1osb",24.0
721,"1wwf , 1rkj",1006.0
722,"1wwf , 1s03",106.0
723,"1wwf , 1s40",93.7
724,"1wwf , 1u63",93.48
725,"1wwf , 1u6p",19.0
726,"1wwf , 1wwd",156.0
727,"1wwf , 1wwe",76.0
728,"1wwf , 1wwg",1.0
729,"1wwf , 1zzi",2106.0
730,"1wwf , 2b6g",64.0
731,"1wwf , 2err",92.91
732,"1wwf , 2gkd",13906.0
733,"1wwf , 2glo",64.0
734,"1wwf , 2kh9",89906.0
735,"1wwf , 2kkf",43906.0
736,"1wwf , 2kx5",93.0
737,"1wwf , 2l41",762906.0
738,"1wwf , 2la5",90.2
739,"1wwf , 2leb",176.0
740,"1wwf , 2lec",126.0
741,"1wwf , 2mki",15706.0
742,"1wwf , 2mkk",1486.0
743,"1wwf , 3moj",93.946
744,"1wwf , 3rn2",18.0
745,"1wwf , 4hid",761.0
746,"1wwf , 4hik",70.0
747,"1wwf , 4him",57.0
748,"1wwf , 4hio",73.0
749,"1wwf , 4hj5",31.0
750,"1wwf , 4hj7",88.0
751,"1wwf , 4hj8",72.0
752,"1wwf , 4pdb",16.0
753,"1wwf , 5wwe",440.79999999999995
754,"1wwf , 5wwg",125.80000000000001
755,"1wwf , 5wzg",62.0
756,"1wwf , 5wzj",81.0
757,"1wwf , 5wzk",66.0
758,"1wwf , 5z6z",48.76
759,"1wwf , 6eo6",93.0
760,"1wwf , 6eo7",93.61
761,"1wwf , 5ytx",1246.0
762,"1wwf , 5ytv",1166.0
763,"1wwf , 5ytt",3676.0
764,"1wwf , 5yts",2676.0
765,"1wwg , 1exd",87.9
766,"1wwg , 1il2",2905.0
767,"1wwg , 1jbr",905.0
768,"1wwg , 1je8",94.85
769,"1wwg , 1knz",16.0
770,"1wwg , 1omh",25.0
771,"1wwg , 1osb",25.0
772,"1wwg , 1rkj",1005.0
773,"1wwg , 1s03",105.0
774,"1wwg , 1s40",94.7
775,"1wwg , 1u63",94.48
776,"1wwg , 1u6p",20.0
777,"1wwg , 1wwd",155.0
778,"1wwg , 1wwe",75.0
779,"1wwg , 1wwf",1.0
780,"1wwg , 1zzi",2105.0
781,"1wwg , 2b6g",65.0
782,"1wwg , 2err",93.91
783,"1wwg , 2gkd",13905.0
784,"1wwg , 2glo",65.0
785,"1wwg , 2kh9",89905.0
786,"1wwg , 2kkf",43905.0
787,"1wwg , 2kx5",94.0
788,"1wwg , 2l41",762905.0
789,"1wwg , 2la5",91.2
790,"1wwg , 2leb",175.0
791,"1wwg , 2lec",125.0
792,"1wwg , 2mki",15705.0
793,"1wwg , 2mkk",1485.0
794,"1wwg , 3moj",94.946
795,"1wwg , 3rn2",17.0
796,"1wwg , 4hid",760.0
797,"1wwg , 4hik",71.0
798,"1wwg , 4him",58.0
799,"1wwg , 4hio",74.0
800,"1wwg , 4hj5",32.0
801,"1wwg , 4hj7",89.0
802,"1wwg , 4hj8",73.0
803,"1wwg , 4pdb",15.0
804,"1wwg , 5wwe",439.79999999999995
805,"1wwg , 5wwg",124.80000000000001
806,"1wwg , 5wzg",63.0
807,"1wwg , 5wzj",82.0
808,"1wwg , 5wzk",65.0
809,"1wwg , 5z6z",49.76
810,"1wwg , 6eo6",94.0
811,"1wwg , 6eo7",94.61
812,"1wwg , 5ytx",1245.0
813,"1wwg , 5ytv",1165.0
814,"1wwg , 5ytt",3675.0
815,"1wwg , 5yts",2675.0
816,"1zzi , 1exd",2192.9
817,"1zzi , 1il2",800.0
818,"1zzi , 1jbr",1200.0
819,"1zzi , 1je8",2199.85
820,"1zzi , 1knz",2121.0
821,"1zzi , 1omh",2130.0
822,"1zzi , 1osb",2130.0
823,"1zzi , 1rkj",1100.0
824,"1zzi , 1s03",2000.0
825,"1zzi , 1s40",2199.7
826,"1zzi , 1u63",2199.48
827,"1zzi , 1u6p",2125.0
828,"1zzi , 1wwd",1950.0
829,"1zzi , 1wwe",2030.0
830,"1zzi , 1wwf",2106.0
831,"1zzi , 1wwg",2105.0
832,"1zzi , 2b6g",2170.0
833,"1zzi , 2err",2198.91
834,"1zzi , 2gkd",11800.0
835,"1zzi , 2glo",2170.0
836,"1zzi , 2kh9",87800.0
837,"1zzi , 2kkf",41800.0
838,"1zzi , 2kx5",2199.0
839,"1zzi , 2l41",760800.0
840,"1zzi , 2la5",2196.2
841,"1zzi , 2leb",1930.0
842,"1zzi , 2lec",1980.0
843,"1zzi , 2mki",13600.0
844,"1zzi , 2mkk",620.0
845,"1zzi , 3moj",2199.946
846,"1zzi , 3rn2",2088.0
847,"1zzi , 4hid",1345.0
848,"1zzi , 4hik",2176.0
849,"1zzi , 4him",2163.0
850,"1zzi , 4hio",2179.0
851,"1zzi , 4hj5",2137.0
852,"1zzi , 4hj7",2194.0
853,"1zzi , 4hj8",2178.0
854,"1zzi , 4pdb",2090.0
855,"1zzi , 5wwe",1665.2
856,"1zzi , 5wwg",1980.2
857,"1zzi , 5wzg",2168.0
858,"1zzi , 5wzj",2187.0
859,"1zzi , 5wzk",2040.0
860,"1zzi , 5z6z",2154.76
861,"1zzi , 6eo6",2199.0
862,"1zzi , 6eo7",2199.61
863,"1zzi , 5ytx",860.0
864,"1zzi , 5ytv",940.0
865,"1zzi , 5ytt",1570.0
866,"1zzi , 5yts",570.0
867,"2b6g , 1exd",22.9
868,"2b6g , 1il2",2970.0
869,"2b6g , 1jbr",970.0
870,"2b6g , 1je8",29.85
871,"2b6g , 1knz",49.0
872,"2b6g , 1omh",40.0
873,"2b6g , 1osb",40.0
874,"2b6g , 1rkj",1070.0
875,"2b6g , 1s03",170.0
876,"2b6g , 1s40",29.7
877,"2b6g , 1u63",29.48
878,"2b6g , 1u6p",45.0
879,"2b6g , 1wwd",220.0
880,"2b6g , 1wwe",140.0
881,"2b6g , 1wwf",64.0
882,"2b6g , 1wwg",65.0
883,"2b6g , 1zzi",2170.0
884,"2b6g , 2err",28.91
885,"2b6g , 2gkd",13970.0
886,"2b6g , 2glo",0.0
887,"2b6g , 2kh9",89970.0
888,"2b6g , 2kkf",43970.0
889,"2b6g , 2kx5",29.0
890,"2b6g , 2l41",762970.0
891,"2b6g , 2la5",26.2
892,"2b6g , 2leb",240.0
893,"2b6g , 2lec",190.0
894,"2b6g , 2mki",15770.0
895,"2b6g , 2mkk",1550.0
896,"2b6g , 3moj",29.946
897,"2b6g , 3rn2",82.0
898,"2b6g , 4hid",825.0
899,"2b6g , 4hik",6.0
900,"2b6g , 4him",7.0
901,"2b6g , 4hio",9.0
902,"2b6g , 4hj5",33.0
903,"2b6g , 4hj7",24.0
904,"2b6g , 4hj8",8.0
905,"2b6g , 4pdb",80.0
906,"2b6g , 5wwe",504.79999999999995
907,"2b6g , 5wwg",189.8
908,"2b6g , 5wzg",2.0
909,"2b6g , 5wzj",17.0
910,"2b6g , 5wzk",130.0
911,"2b6g , 5z6z",15.240000000000002
912,"2b6g , 6eo6",29.0
913,"2b6g , 6eo7",29.61
914,"2b6g , 5ytx",1310.0
915,"2b6g , 5ytv",1230.0
916,"2b6g , 5ytt",3740.0
917,"2b6g , 5yts",2740.0
918,"2err , 1exd",6.01
919,"2err , 1il2",2998.91
920,"2err , 1jbr",998.91
921,"2err , 1je8",0.9400000000000001
922,"2err , 1knz",77.91
923,"2err , 1omh",68.91
924,"2err , 1osb",68.91
925,"2err , 1rkj",1098.91
926,"2err , 1s03",198.91
927,"2err , 1s40",0.79
928,"2err , 1u63",0.5700000000000001
929,"2err , 1u6p",73.91
930,"2err , 1wwd",248.91
931,"2err , 1wwe",168.91
932,"2err , 1wwf",92.91
933,"2err , 1wwg",93.91
934,"2err , 1zzi",2198.91
935,"2err , 2b6g",28.91
936,"2err , 2gkd",13998.91
937,"2err , 2glo",28.91
938,"2err , 2kh9",89998.91
939,"2err , 2kkf",43998.91
940,"2err , 2kx5",0.09000000000000008
941,"2err , 2l41",762998.91
942,"2err , 2la5",2.71
943,"2err , 2leb",268.91
944,"2err , 2lec",218.91
945,"2err , 2mki",15798.91
946,"2err , 2mkk",1578.91
947,"2err , 3moj",1.036
948,"2err , 3rn2",110.91
949,"2err , 4hid",853.91
950,"2err , 4hik",22.91
951,"2err , 4him",35.91
952,"2err , 4hio",19.91
953,"2err , 4hj5",61.91
954,"2err , 4hj7",4.91
955,"2err , 4hj8",20.91
956,"2err , 4pdb",108.91
957,"2err , 5wwe",533.7099999999999
958,"2err , 5wwg",218.71
959,"2err , 5wzg",30.91
960,"2err , 5wzj",11.91
961,"2err , 5wzk",158.91
962,"2err , 5z6z",44.15
963,"2err , 6eo6",0.09000000000000008
964,"2err , 6eo7",0.7000000000000001
965,"2err , 5ytx",1338.91
966,"2err , 5ytv",1258.91
967,"2err , 5ytt",3768.91
968,"2err , 5yts",2768.91
969,"2gkd , 1exd",13992.9
970,"2gkd , 1il2",11000.0
971,"2gkd , 1jbr",13000.0
972,"2gkd , 1je8",13999.85
973,"2gkd , 1knz",13921.0
974,"2gkd , 1omh",13930.0
975,"2gkd , 1osb",13930.0
976,"2gkd , 1rkj",12900.0
977,"2gkd , 1s03",13800.0
978,"2gkd , 1s40",13999.7
979,"2gkd , 1u63",13999.48
980,"2gkd , 1u6p",13925.0
981,"2gkd , 1wwd",13750.0
982,"2gkd , 1wwe",13830.0
983,"2gkd , 1wwf",13906.0
984,"2gkd , 1wwg",13905.0
985,"2gkd , 1zzi",11800.0
986,"2gkd , 2b6g",13970.0
987,"2gkd , 2err",13998.91
988,"2gkd , 2glo",13970.0
989,"2gkd , 2kh9",76000.0
990,"2gkd , 2kkf",30000.0
991,"2gkd , 2kx5",13999.0
992,"2gkd , 2l41",749000.0
993,"2gkd , 2la5",13996.2
994,"2gkd , 2leb",13730.0
995,"2gkd , 2lec",13780.0
996,"2gkd , 2mki",1800.0
997,"2gkd , 2mkk",12420.0
998,"2gkd , 3moj",13999.946
999,"2gkd , 3rn2",13888.0
1000,"2gkd , 4hid",13145.0
1001,"2gkd , 4hik",13976.0
1002,"2gkd , 4him",13963.0
1003,"2gkd , 4hio",13979.0
1004,"2gkd , 4hj5",13937.0
1005,"2gkd , 4hj7",13994.0
1006,"2gkd , 4hj8",13978.0
1007,"2gkd , 4pdb",13890.0
1008,"2gkd , 5wwe",13465.2
1009,"2gkd , 5wwg",13780.2
1010,"2gkd , 5wzg",13968.0
1011,"2gkd , 5wzj",13987.0
1012,"2gkd , 5wzk",13840.0
1013,"2gkd , 5z6z",13954.76
1014,"2gkd , 6eo6",13999.0
1015,"2gkd , 6eo7",13999.61
1016,"2gkd , 5ytx",12660.0
1017,"2gkd , 5ytv",12740.0
1018,"2gkd , 5ytt",10230.0
1019,"2gkd , 5yts",11230.0
1020,"2glo , 1exd",22.9
1021,"2glo , 1il2",2970.0
1022,"2glo , 1jbr",970.0
1023,"2glo , 1je8",29.85
1024,"2glo , 1knz",49.0
1025,"2glo , 1omh",40.0
1026,"2glo , 1osb",40.0
1027,"2glo , 1rkj",1070.0
1028,"2glo , 1s03",170.0
1029,"2glo , 1s40",29.7
1030,"2glo , 1u63",29.48
1031,"2glo , 1u6p",45.0
1032,"2glo , 1wwd",220.0
1033,"2glo , 1wwe",140.0
1034,"2glo , 1wwf",64.0
1035,"2glo , 1wwg",65.0
1036,"2glo , 1zzi",2170.0
1037,"2glo , 2b6g",0.0
1038,"2glo , 2err",28.91
1039,"2glo , 2gkd",13970.0
1040,"2glo , 2kh9",89970.0
1041,"2glo , 2kkf",43970.0
1042,"2glo , 2kx5",29.0
1043,"2glo , 2l41",762970.0
1044,"2glo , 2la5",26.2
1045,"2glo , 2leb",240.0
1046,"2glo , 2lec",190.0
1047,"2glo , 2mki",15770.0
1048,"2glo , 2mkk",1550.0
1049,"2glo , 3moj",29.946
1050,"2glo , 3rn2",82.0
1051,"2glo , 4hid",825.0
1052,"2glo , 4hik",6.0
1053,"2glo , 4him",7.0
1054,"2glo , 4hio",9.0
1055,"2glo , 4hj5",33.0
1056,"2glo , 4hj7",24.0
1057,"2glo , 4hj8",8.0
1058,"2glo , 4pdb",80.0
1059,"2glo , 5wwe",504.79999999999995
1060,"2glo , 5wwg",189.8
1061,"2glo , 5wzg",2.0
1062,"2glo , 5wzj",17.0
1063,"2glo , 5wzk",130.0
1064,"2glo , 5z6z",15.240000000000002
1065,"2glo , 6eo6",29.0
1066,"2glo , 6eo7",29.61
1067,"2glo , 5ytx",1310.0
1068,"2glo , 5ytv",1230.0
1069,"2glo , 5ytt",3740.0
1070,"2glo , 5yts",2740.0
1071,"2kh9 , 1exd",89992.9
1072,"2kh9 , 1il2",87000.0
1073,"2kh9 , 1jbr",89000.0
1074,"2kh9 , 1je8",89999.85
1075,"2kh9 , 1knz",89921.0
1076,"2kh9 , 1omh",89930.0
1077,"2kh9 , 1osb",89930.0
1078,"2kh9 , 1rkj",88900.0
1079,"2kh9 , 1s03",89800.0
1080,"2kh9 , 1s40",89999.7
1081,"2kh9 , 1u63",89999.48
1082,"2kh9 , 1u6p",89925.0
1083,"2kh9 , 1wwd",89750.0
1084,"2kh9 , 1wwe",89830.0
1085,"2kh9 , 1wwf",89906.0
1086,"2kh9 , 1wwg",89905.0
1087,"2kh9 , 1zzi",87800.0
1088,"2kh9 , 2b6g",89970.0
1089,"2kh9 , 2err",89998.91
1090,"2kh9 , 2gkd",76000.0
1091,"2kh9 , 2glo",89970.0
1092,"2kh9 , 2kkf",46000.0
1093,"2kh9 , 2kx5",89999.0
1094,"2kh9 , 2l41",673000.0
1095,"2kh9 , 2la5",89996.2
1096,"2kh9 , 2leb",89730.0
1097,"2kh9 , 2lec",89780.0
1098,"2kh9 , 2mki",74200.0
1099,"2kh9 , 2mkk",88420.0
1100,"2kh9 , 3moj",89999.946
1101,"2kh9 , 3rn2",89888.0
1102,"2kh9 , 4hid",89145.0
1103,"2kh9 , 4hik",89976.0
1104,"2kh9 , 4him",89963.0
1105,"2kh9 , 4hio",89979.0
1106,"2kh9 , 4hj5",89937.0
1107,"2kh9 , 4hj7",89994.0
1108,"2kh9 , 4hj8",89978.0
1109,"2kh9 , 4pdb",89890.0
1110,"2kh9 , 5wwe",89465.2
1111,"2kh9 , 5wwg",89780.2
1112,"2kh9 , 5wzg",89968.0
1113,"2kh9 , 5wzj",89987.0
1114,"2kh9 , 5wzk",89840.0
1115,"2kh9 , 5z6z",89954.76
1116,"2kh9 , 6eo6",89999.0
1117,"2kh9 , 6eo7",89999.61
1118,"2kh9 , 5ytx",88660.0
1119,"2kh9 , 5ytv",88740.0
1120,"2kh9 , 5ytt",86230.0
1121,"2kh9 , 5yts",87230.0
1122,"2kkf , 1exd",43992.9
1123,"2kkf , 1il2",41000.0
1124,"2kkf , 1jbr",43000.0
1125,"2kkf , 1je8",43999.85
1126,"2kkf , 1knz",43921.0
1127,"2kkf , 1omh",43930.0
1128,"2kkf , 1osb",43930.0
1129,"2kkf , 1rkj",42900.0
1130,"2kkf , 1s03",43800.0
1131,"2kkf , 1s40",43999.7
1132,"2kkf , 1u63",43999.48
1133,"2kkf , 1u6p",43925.0
1134,"2kkf , 1wwd",43750.0
1135,"2kkf , 1wwe",43830.0
1136,"2kkf , 1wwf",43906.0
1137,"2kkf , 1wwg",43905.0
1138,"2kkf , 1zzi",41800.0
1139,"2kkf , 2b6g",43970.0
1140,"2kkf , 2err",43998.91
1141,"2kkf , 2gkd",30000.0
1142,"2kkf , 2glo",43970.0
1143,"2kkf , 2kh9",46000.0
1144,"2kkf , 2kx5",43999.0
1145,"2kkf , 2l41",719000.0
1146,"2kkf , 2la5",43996.2
1147,"2kkf , 2leb",43730.0
1148,"2kkf , 2lec",43780.0
1149,"2kkf , 2mki",28200.0
1150,"2kkf , 2mkk",42420.0
1151,"2kkf , 3moj",43999.946
1152,"2kkf , 3rn2",43888.0
1153,"2kkf , 4hid",43145.0
1154,"2kkf , 4hik",43976.0
1155,"2kkf , 4him",43963.0
1156,"2kkf , 4hio",43979.0
1157,"2kkf , 4hj5",43937.0
1158,"2kkf , 4hj7",43994.0
1159,"2kkf , 4hj8",43978.0
1160,"2kkf , 4pdb",43890.0
1161,"2kkf , 5wwe",43465.2
1162,"2kkf , 5wwg",43780.2
1163,"2kkf , 5wzg",43968.0
1164,"2kkf , 5wzj",43987.0
1165,"2kkf , 5wzk",43840.0
1166,"2kkf , 5z6z",43954.76
1167,"2kkf , 6eo6",43999.0
1168,"2kkf , 6eo7",43999.61
1169,"2kkf , 5ytx",42660.0
1170,"2kkf , 5ytv",42740.0
1171,"2kkf , 5ytt",40230.0
1172,"2kkf , 5yts",41230.0
1173,"2kx5 , 1exd",6.1
1174,"2kx5 , 1il2",2999.0
1175,"2kx5 , 1jbr",999.0
1176,"2kx5 , 1je8",0.85
1177,"2kx5 , 1knz",78.0
1178,"2kx5 , 1omh",69.0
1179,"2kx5 , 1osb",69.0
1180,"2kx5 , 1rkj",1099.0
1181,"2kx5 , 1s03",199.0
1182,"2kx5 , 1s40",0.7
1183,"2kx5 , 1u63",0.48
1184,"2kx5 , 1u6p",74.0
1185,"2kx5 , 1wwd",249.0
1186,"2kx5 , 1wwe",169.0
1187,"2kx5 , 1wwf",93.0
1188,"2kx5 , 1wwg",94.0
1189,"2kx5 , 1zzi",2199.0
1190,"2kx5 , 2b6g",29.0
1191,"2kx5 , 2err",0.09000000000000008
1192,"2kx5 , 2gkd",13999.0
1193,"2kx5 , 2glo",29.0
1194,"2kx5 , 2kh9",89999.0
1195,"2kx5 , 2kkf",43999.0
1196,"2kx5 , 2l41",762999.0
1197,"2kx5 , 2la5",2.8
1198,"2kx5 , 2leb",269.0
1199,"2kx5 , 2lec",219.0
1200,"2kx5 , 2mki",15799.0
1201,"2kx5 , 2mkk",1579.0
1202,"2kx5 , 3moj",0.946
1203,"2kx5 , 3rn2",111.0
1204,"2kx5 , 4hid",854.0
1205,"2kx5 , 4hik",23.0
1206,"2kx5 , 4him",36.0
1207,"2kx5 , 4hio",20.0
1208,"2kx5 , 4hj5",62.0
1209,"2kx5 , 4hj7",5.0
1210,"2kx5 , 4hj8",21.0
1211,"2kx5 , 4pdb",109.0
1212,"2kx5 , 5wwe",533.8
1213,"2kx5 , 5wwg",218.8
1214,"2kx5 , 5wzg",31.0
1215,"2kx5 , 5wzj",12.0
1216,"2kx5 , 5wzk",159.0
1217,"2kx5 , 5z6z",44.24
1218,"2kx5 , 6eo6",0.0
1219,"2kx5 , 6eo7",0.61
1220,"2kx5 , 5ytx",1339.0
1221,"2kx5 , 5ytv",1259.0
1222,"2kx5 , 5ytt",3769.0
1223,"2kx5 , 5yts",2769.0
1224,"2l41 , 1exd",762992.9
1225,"2l41 , 1il2",760000.0
1226,"2l41 , 1jbr",762000.0
1227,"2l41 , 1je8",762999.85
1228,"2l41 , 1knz",762921.0
1229,"2l41 , 1omh",762930.0
1230,"2l41 , 1osb",762930.0
1231,"2l41 , 1rkj",761900.0
1232,"2l41 , 1s03",762800.0
1233,"2l41 , 1s40",762999.7
1234,"2l41 , 1u63",762999.48
1235,"2l41 , 1u6p",762925.0
1236,"2l41 , 1wwd",762750.0
1237,"2l41 , 1wwe",762830.0
1238,"2l41 , 1wwf",762906.0
1239,"2l41 , 1wwg",762905.0
1240,"2l41 , 1zzi",760800.0
1241,"2l41 , 2b6g",762970.0
1242,"2l41 , 2err",762998.91
1243,"2l41 , 2gkd",749000.0
1244,"2l41 , 2glo",762970.0
1245,"2l41 , 2kh9",673000.0
1246,"2l41 , 2kkf",719000.0
1247,"2l41 , 2kx5",762999.0
1248,"2l41 , 2la5",762996.2
1249,"2l41 , 2leb",762730.0
1250,"2l41 , 2lec",762780.0
1251,"2l41 , 2mki",747200.0
1252,"2l41 , 2mkk",761420.0
1253,"2l41 , 3moj",762999.946
1254,"2l41 , 3rn2",762888.0
1255,"2l41 , 4hid",762145.0
1256,"2l41 , 4hik",762976.0
1257,"2l41 , 4him",762963.0
1258,"2l41 , 4hio",762979.0
1259,"2l41 , 4hj5",762937.0
1260,"2l41 , 4hj7",762994.0
1261,"2l41 , 4hj8",762978.0
1262,"2l41 , 4pdb",762890.0
1263,"2l41 , 5wwe",762465.2
1264,"2l41 , 5wwg",762780.2
1265,"2l41 , 5wzg",762968.0
1266,"2l41 , 5wzj",762987.0
1267,"2l41 , 5wzk",762840.0
1268,"2l41 , 5z6z",762954.76
1269,"2l41 , 6eo6",762999.0
1270,"2l41 , 6eo7",762999.61
1271,"2l41 , 5ytx",761660.0
1272,"2l41 , 5ytv",761740.0
1273,"2l41 , 5ytt",759230.0
1274,"2l41 , 5yts",760230.0
1275,"2la5 , 1exd",3.3
1276,"2la5 , 1il2",2996.2
1277,"2la5 , 1jbr",996.2
1278,"2la5 , 1je8",3.65
1279,"2la5 , 1knz",75.2
1280,"2la5 , 1omh",66.2
1281,"2la5 , 1osb",66.2
1282,"2la5 , 1rkj",1096.2
1283,"2la5 , 1s03",196.2
1284,"2la5 , 1s40",3.5
1285,"2la5 , 1u63",3.28
1286,"2la5 , 1u6p",71.2
1287,"2la5 , 1wwd",246.2
1288,"2la5 , 1wwe",166.2
1289,"2la5 , 1wwf",90.2
1290,"2la5 , 1wwg",91.2
1291,"2la5 , 1zzi",2196.2
1292,"2la5 , 2b6g",26.2
1293,"2la5 , 2err",2.71
1294,"2la5 , 2gkd",13996.2
1295,"2la5 , 2glo",26.2
1296,"2la5 , 2kh9",89996.2
1297,"2la5 , 2kkf",43996.2
1298,"2la5 , 2kx5",2.8
1299,"2la5 , 2l41",762996.2
1300,"2la5 , 2leb",266.2
1301,"2la5 , 2lec",216.2
1302,"2la5 , 2mki",15796.2
1303,"2la5 , 2mkk",1576.2
1304,"2la5 , 3moj",3.746
1305,"2la5 , 3rn2",108.2
1306,"2la5 , 4hid",851.2
1307,"2la5 , 4hik",20.2
1308,"2la5 , 4him",33.2
1309,"2la5 , 4hio",17.2
1310,"2la5 , 4hj5",59.2
1311,"2la5 , 4hj7",2.2
1312,"2la5 , 4hj8",18.2
1313,"2la5 , 4pdb",106.2
1314,"2la5 , 5wwe",531.0
1315,"2la5 , 5wwg",216.0
1316,"2la5 , 5wzg",28.2
1317,"2la5 , 5wzj",9.2
1318,"2la5 , 5wzk",156.2
1319,"2la5 , 5z6z",41.440000000000005
1320,"2la5 , 6eo6",2.8
1321,"2la5 , 6eo7",3.4099999999999997
1322,"2la5 , 5ytx",1336.2
1323,"2la5 , 5ytv",1256.2
1324,"2la5 , 5ytt",3766.2
1325,"2la5 , 5yts",2766.2
1326,"2leb , 1exd",262.9
1327,"2leb , 1il2",2730.0
1328,"2leb , 1jbr",730.0
1329,"2leb , 1je8",269.85
1330,"2leb , 1knz",191.0
1331,"2leb , 1omh",200.0
1332,"2leb , 1osb",200.0
1333,"2leb , 1rkj",830.0
1334,"2leb , 1s03",70.0
1335,"2leb , 1s40",269.7
1336,"2leb , 1u63",269.48
1337,"2leb , 1u6p",195.0
1338,"2leb , 1wwd",20.0
1339,"2leb , 1wwe",100.0
1340,"2leb , 1wwf",176.0
1341,"2leb , 1wwg",175.0
1342,"2leb , 1zzi",1930.0
1343,"2leb , 2b6g",240.0
1344,"2leb , 2err",268.91
1345,"2leb , 2gkd",13730.0
1346,"2leb , 2glo",240.0
1347,"2leb , 2kh9",89730.0
1348,"2leb , 2kkf",43730.0
1349,"2leb , 2kx5",269.0
1350,"2leb , 2l41",762730.0
1351,"2leb , 2la5",266.2
1352,"2leb , 2lec",50.0
1353,"2leb , 2mki",15530.0
1354,"2leb , 2mkk",1310.0
